,date,cell_num,nr_people,hours,minutes
108421,2017-04-21,493-1264,22.0,2.0,30.0
108642,2017-04-21,493-1264,20.0,2.0,45.0
108863,2017-04-21,493-1264,20.0,3.0,0.0
109084,2017-04-21,493-1264,20.0,3.0,15.0
109305,2017-04-21,493-1264,20.0,3.0,30.0
109526,2017-04-21,493-1264,20.0,3.0,45.0
109747,2017-04-21,493-1264,20.0,4.0,0.0
109968,2017-04-21,493-1264,20.0,4.0,15.0
110189,2017-04-21,493-1264,20.0,4.0,30.0
110410,2017-04-21,493-1264,20.0,4.0,45.0
110631,2017-04-21,493-1264,20.0,5.0,0.0
110852,2017-04-21,493-1264,22.0,5.0,15.0
111073,2017-04-21,493-1264,22.0,5.0,30.0
111294,2017-04-21,493-1264,22.0,5.0,45.0
111515,2017-04-21,493-1264,21.0,6.0,0.0
111736,2017-04-21,493-1264,21.0,6.0,15.0
111957,2017-04-21,493-1264,21.0,6.0,30.0
112178,2017-04-21,493-1264,21.0,6.0,45.0
112399,2017-04-21,493-1264,22.0,7.0,0.0
112620,2017-04-21,493-1264,22.0,7.0,15.0
112841,2017-04-21,493-1264,22.0,7.0,30.0
113062,2017-04-21,493-1264,24.0,7.0,45.0
113283,2017-04-21,493-1264,25.0,8.0,0.0
